id,rtt_ms,jitter_ms
1046,0.252399,0.017499
1047,0.250299,0.0021
1048,0.255399,0.0051
1049,0.273699,0.0183
1050,0.2883,0.014601
1051,0.24,0.0483
1052,0.2346,0.0054
1053,0.307399,0.072799
1054,0.687798,0.380399
1055,0.776798,0.089
1056,0.386199,0.390599
1057,0.2934,0.092799
1058,0.303199,0.009799
1059,0.277399,0.0258
1060,0.268799,0.0086
1061,0.3842,0.115401
1062,0.287999,0.096201
1063,0.353999,0.066
1064,0.369999,0.016
1065,0.3281,0.041899
1066,0.282399,0.045701
1067,0.411199,0.1288
1068,0.380099,0.0311
1069,0.313699,0.0664
1070,0.445099,0.1314
1071,0.653998,0.208899
1072,0.643898,0.0101
1073,0.659698,0.0158
1074,0.395499,0.264199
1075,0.362799,0.0327
1076,0.497399,0.1346
1077,0.382099,0.1153
1078,0.3163,0.065799
1079,0.341399,0.025099
1080,0.2721,0.069299
1081,0.277199,0.005099
1082,0.271,0.006199
1083,0.292099,0.021099
1084,0.413499,0.1214
1085,0.377799,0.0357
1086,0.536099,0.1583
1087,0.506998,0.029101
1088,0.612498,0.1055
1089,0.681999,0.069501
1090,0.312399,0.3696
1091,0.2942,0.018199
1092,0.338599,0.044399
1093,0.310699,0.0279
1094,0.278199,0.0325
1095,0.2919,0.013701
1096,0.251499,0.040401
1097,0.301799,0.0503
1098,0.282899,0.0189
1099,0.214499,0.0684
1100,0.2636,0.049101
1101,0.2194,0.0442
1102,0.246699,0.027299
1103,0.372199,0.1255
1104,0.566399,0.1942
1105,0.380799,0.1856
1106,0.2562,0.124599
1107,0.277299,0.021099
1108,0.436599,0.1593
1109,0.298699,0.1379
1110,0.398299,0.0996
1111,0.278199,0.1201
1112,0.341599,0.0634
1113,0.336699,0.0049
1114,0.373899,0.0372
1115,0.232999,0.1409
1116,0.295099,0.0621
1117,0.268799,0.0263
1118,0.268899,0.0001
1119,0.293199,0.0243
1120,0.330799,0.0376
1121,0.467099,0.1363
1122,0.640798,0.173699
1123,0.331299,0.309499
1124,0.331899,0.0006
1125,0.2647,0.067199
1126,0.2727,0.008
1127,0.272599,0.000101
1128,0.344699,0.0721
1129,0.273699,0.071
1130,0.2736,9.9e-05
1131,0.293299,0.019699
1132,0.2614,0.031899
1133,0.244499,0.016901
1134,0.246099,0.0016
1135,0.229999,0.0161
1136,0.330299,0.1003
1137,0.522598,0.192299
1138,0.432199,0.090399
1139,0.522899,0.0907
1140,0.275399,0.2475
1141,0.248899,0.0265
1142,0.394899,0.146
1143,0.308899,0.086
1144,0.263499,0.0454
1145,0.2502,0.013299
1146,0.231199,0.019001
1147,0.246,0.014801
1148,0.282599,0.036599
